Category: All categories

DMA,Diabetic retinopathy: (6/3/17 - 6/3/22),Macular Degeneration: (6/3/17 - 6/3/22),Glaucoma: (6/3/17 - 6/3/22),Cataract: (6/3/17 - 6/3/22),Uveitis: (6/3/17 - 6/3/22)
Jackson MS,5%,13%,37%,39%,6%
Omaha NE,7%,16%,32%,40%,5%
St. Louis MO,7%,14%,33%,41%,5%
Amarillo TX,,18%,38%,44%,
Panama City FL,,,43%,57%,
Idaho Falls-Pocatello ID,,,46%,54%,
Wichita-Hutchinson KS,7%,17%,33%,39%,4%
Dayton OH,7%,16%,35%,38%,4%
Lubbock TX,6%,15%,37%,42%,
Topeka KS,,17%,38%,45%,
Fairbanks AK,,,,100%,
Norfolk-Portsmouth-Newport News VA,7%,14%,34%,39%,6%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,6%,16%,33%,40%,5%
Mankato MN,,,48%,52%,
Lake Charles LA,,,45%,55%,
Savannah GA,5%,13%,37%,41%,4%
Joplin MO-Pittsburg KS,,,45%,55%,
Baton Rouge LA,5%,12%,37%,41%,5%
Baltimore MD,7%,14%,38%,34%,7%
Nashville TN,7%,14%,33%,40%,6%
Lansing MI,7%,15%,35%,37%,6%
Columbia SC,6%,12%,39%,39%,4%
Cleveland-Akron (Canton) OH,6%,16%,32%,40%,6%
Santa Barbara-Santa Maria-San Luis Obispo CA,6%,17%,37%,40%,
Colorado Springs-Pueblo CO,5%,17%,34%,40%,4%
Greenwood-Greenville MS,,,100%,,
Biloxi-Gulfport MS,,18%,39%,43%,
Kansas City MO,8%,15%,33%,39%,5%
Casper-Riverton WY,,,,100%,
Macon GA,6%,14%,40%,40%,
Raleigh-Durham (Fayetteville) NC,7%,14%,35%,38%,6%
Eureka CA,,,45%,55%,
Providence RI-New Bedford MA,7%,14%,36%,37%,6%
Grand Rapids-Kalamazoo-Battle Creek MI,6%,16%,34%,39%,5%
New Orleans LA,7%,14%,36%,37%,6%
Laredo TX,,,62%,38%,
Lincoln & Hastings-Kearney NE,6%,18%,35%,41%,
Columbus OH,6%,15%,33%,39%,7%
Sacramento-Stockton-Modesto CA,7%,15%,32%,42%,4%
Cincinnati OH,6%,15%,36%,38%,5%
Reno NV,6%,17%,38%,39%,
San Antonio TX,8%,13%,37%,37%,5%
Salt Lake City UT,6%,16%,32%,41%,5%
Bowling Green KY,,,51%,49%,
Charlotte NC,8%,14%,33%,40%,5%
Portland OR,7%,16%,32%,38%,7%
Milwaukee WI,6%,17%,34%,38%,5%
Las Vegas NV,6%,14%,37%,39%,4%
Lima OH,,,46%,54%,
Harrisonburg VA,,,53%,47%,
Monterey-Salinas CA,,16%,41%,43%,
Minot-Bismarck-Dickinson(Williston) ND,,,49%,51%,
Bakersfield CA,,13%,46%,41%,
Waco-Temple-Bryan TX,7%,12%,37%,38%,6%
San Diego CA,7%,14%,37%,37%,5%
Fresno-Visalia CA,8%,13%,40%,36%,3%
Odessa-Midland TX,,,51%,49%,
Austin TX,7%,15%,36%,37%,5%
Glendive MT,,,,,
St. Joseph MO,,,,,
Victoria TX,,,,,
Zanesville OH,,,,,
Juneau AK,,,,,
Alpena MI,,,,,
North Platte NE,,,,,
